Name,Target_Muscle,Equipment,Video_URL,Difficulty,Type,Check_Type,Avoid_If,Progression_Next,Alternative_Swap,Wger_Image_URL
3/4 Sit-Up,Waist,Body Weight,https://v2.exercisedb.io/image/MOnK4iG0MEt9h8,Beginner,Compound,general_logic,Back Pain,45° Side Bend,Wind Sprints,
45° Side Bend,Waist,Body Weight,https://v2.exercisedb.io/image/PERWLDGUxVbpHS,Intermediate,Compound,general_logic,Back Pain,Air Bike,Wheel Rollerout,
Air Bike,Waist,Body Weight,https://v2.exercisedb.io/image/PLr4yo3j-f1amp,Intermediate,Compound,general_logic,Back Pain,Alternate Heel Touchers,Weighted Side Bend (On Stability Ball),
All Fours Squad Stretch,Upper Legs,Body Weight,https://v2.exercisedb.io/image/XPQwM7HECjgNFE,Intermediate,Compound,general_logic,Knee Pain,Arms Apart Circular Toe Touch (Male),World Greatest Stretch,
Alternate Heel Touchers,Waist,Body Weight,https://v2.exercisedb.io/image/5nYph4eUGNiEdf,Intermediate,Compound,general_logic,Back Pain,Arm Slingers Hanging Bent Knee Legs,Weighted Seated Twist (On Stability Ball),
Alternate Lateral Pulldown,Back,Cable,https://v2.exercisedb.io/image/Az5UYVYNa4j-oS,Beginner,Compound,general_logic,Back Pain,Archer Pull Up,Wide Grip Rear Pull-Up,
Ankle Circles,Lower Legs,Body Weight,https://v2.exercisedb.io/image/ivmTcSJsMlXJeK,Beginner,Compound,general_logic,Knee Pain,Assisted Lying Calves Stretch,Weighted Donkey Calf Raise,
Archer Pull Up,Back,Body Weight,https://v2.exercisedb.io/image/LSBkdKcbK4xj8n,Beginner,Compound,general_logic,Back Pain,Assisted Parallel Close Grip Pull-Up,Wide Grip Pull-Up,
Archer Push Up,Chest,Body Weight,https://v2.exercisedb.io/image/GSjHZGSiL1VbQ7,Intermediate,Compound,pushup_logic,,Assisted Chest Dip (Kneeling),Wide-Grip Chest Dip On High Parallel Bars,
Arm Slingers Hanging Bent Knee Legs,Waist,Body Weight,https://v2.exercisedb.io/image/osybi41Me6RFK2,Intermediate,Compound,general_logic,Back Pain,Arm Slingers Hanging Straight Legs,Weighted Russian Twist V. 2,
