name,bodyPart,equipment,target,difficulty,intensity,time_minutes
3/4 sit-up,waist,body weight,abs,Beginner,Low,15
45° side bend,waist,body weight,abs,Beginner,Low,15
air bike,waist,body weight,abs,Beginner,Low,15
all fours squad stretch,upper legs,body weight,quads,Beginner,Moderate,15
alternate heel touchers,waist,body weight,abs,Beginner,Low,15
alternate lateral pulldown,back,cable,lats,Intermediate,Low,15
ankle circles,lower legs,body weight,calves,Beginner,Moderate,15
archer pull up,back,body weight,lats,Beginner,Low,15
archer push up,chest,body weight,pectorals,Beginner,Low,15
arm slingers hanging bent knee legs,waist,body weight,abs,Beginner,Low,15
arm slingers hanging straight legs,waist,body weight,abs,Beginner,Low,15
arms apart circular toe touch (male),upper legs,body weight,glutes,Beginner,Moderate,15
arms overhead full sit-up (male),waist,body weight,abs,Beginner,Low,15
assisted chest dip (kneeling),chest,leverage machine,pectorals,Advanced,Low,15
assisted hanging knee raise,waist,assisted,abs,Advanced,Low,15
assisted hanging knee raise with throw down,waist,assisted,abs,Advanced,High,15
assisted lying calves stretch,lower legs,assisted,calves,Advanced,Moderate,15
assisted lying glutes stretch,upper legs,assisted,glutes,Advanced,Moderate,15
assisted lying gluteus and piriformis stretch,upper legs,assisted,glutes,Advanced,Moderate,15
assisted lying leg raise with lateral throw down,waist,assisted,abs,Advanced,High,15
assisted lying leg raise with throw down,waist,assisted,abs,Advanced,High,15
assisted motion russian twist,waist,medicine ball,abs,Advanced,Low,15
assisted parallel close grip pull-up,back,leverage machine,lats,Advanced,Low,15
assisted prone hamstring,upper legs,assisted,hamstrings,Advanced,Moderate,15
assisted prone lying quads stretch,upper legs,assisted,quads,Advanced,Moderate,15
assisted prone rectus femoris stretch,waist,assisted,abs,Advanced,Low,15
assisted pull-up,back,leverage machine,lats,Advanced,Low,15
assisted seated pectoralis major stretch with stability ball,chest,assisted,pectorals,Advanced,Low,15
assisted side lying adductor stretch,upper legs,assisted,adductors,Advanced,Moderate,15
assisted sit-up,waist,assisted,abs,Advanced,Low,15
assisted standing chin-up,back,leverage machine,lats,Advanced,Low,15
assisted standing pull-up,back,leverage machine,lats,Advanced,Low,15
assisted standing triceps extension (with towel),upper arms,assisted,triceps,Advanced,Low,15
assisted triceps dip (kneeling),upper arms,leverage machine,triceps,Advanced,Low,15
assisted wide-grip chest dip (kneeling),chest,leverage machine,pectorals,Advanced,Low,15
astride jumps (male),cardio,body weight,cardiovascular system,Beginner,High,15
back and forth step,cardio,body weight,cardiovascular system,Beginner,High,15
back extension on exercise ball,back,stability ball,spine,Advanced,Low,15
back lever,back,body weight,upper back,Beginner,Low,15
back pec stretch,back,body weight,lats,Beginner,Low,15
backward jump,upper legs,body weight,quads,Beginner,High,15
balance board,upper legs,body weight,quads,Beginner,Moderate,15
band alternating biceps curl,upper arms,band,biceps,Advanced,Low,15
band alternating v-up,waist,band,abs,Advanced,Low,15
band assisted pull-up,back,band,lats,Advanced,Low,15
band assisted wheel rollerout,waist,band,abs,Advanced,Low,15
band bench press,chest,band,pectorals,Advanced,Moderate,15
band bent-over hip extension,upper legs,band,glutes,Advanced,Moderate,15
band bicycle crunch,waist,band,abs,Advanced,High,15
band close-grip pulldown,back,band,lats,Advanced,Low,15
band close-grip push-up,upper arms,band,triceps,Advanced,Low,15
band concentration curl,upper arms,band,biceps,Advanced,Low,15
band fixed back close grip pulldown,back,band,lats,Advanced,Low,15
band fixed back underhand pulldown,back,band,lats,Advanced,Low,15
band front lateral raise,shoulders,band,delts,Advanced,Low,15
band front raise,shoulders,band,delts,Advanced,Low,15
band hip lift,upper legs,band,glutes,Advanced,Moderate,15
