Food ID,Food Name,Category,Serving Size,Calories,Reason,Confidence
754a1a72-6ca0-4437-a3b9-dbcc2c1812d4,Egg Sandwich (Ande Ka Sandwich),Eggs,150.0,714.0,Calorie density > 300kcal/100g for cooked food,80-94%
e91cfef8-80f2-4311-8d3f-f9a7b86082ea,Cucumber Sandwich (Kheere Ka Sandwich),Traditional Meal,150.0,471.0,Calorie density > 300kcal/100g for cooked food,80-94%
ff41b393-84d8-4efa-8412-cb61621b313a,Chicken Sandwich,Chicken/Meat,150.0,633.0,Calorie density > 300kcal/100g for cooked food,80-94%
04e19fe9-8a80-4ec1-9fb7-a14006374b41,Rainbow Sandwich,Traditional Meal,150.0,681.0,Calorie density > 300kcal/100g for cooked food,80-94%
d26549c1-8144-4e2b-8101-22c83902cd34,Club Sandwich,Traditional Meal,150.0,588.0,Calorie density > 300kcal/100g for cooked food,80-94%
8feba728-d75e-4a70-99f9-404fbe67cc6a,Vegetarian Club Sandwich,Traditional Meal,150.0,495.0,Calorie density > 300kcal/100g for cooked food,80-94%
dbe22aa7-03ec-46d6-ab09-d8f1c7c32470,Pin Wheel Sandwich,Traditional Meal,150.0,778.0,Calorie density > 300kcal/100g for cooked food,80-94%
49103ca2-ad75-47e0-884a-990fd1da4bb0,Carrot Apple Sandwich (Gajar Aur Seb Ka Sandwich),Traditional Meal,150.0,535.0,Calorie density > 300kcal/100g for cooked food,80-94%
8e8a13fd-abc4-4851-a9d8-fb3143c8b9de,Egg And Tomato Sandwich (Ande Aur Tamatar Ka Sandwich),Eggs,150.0,555.0,Calorie density > 300kcal/100g for cooked food,80-94%
e2441831-1bd9-4a1b-b9b4-a7d9b853b24f,Paneer Pea Sandwich (Toasted) (Paneer Matar Ka Sandwich),Paneer,150.0,623.0,Calorie density > 300kcal/100g for cooked food,80-94%
c4ca3be5-0a72-4ad3-9f72-680036c4faad,Chicken Sandwich (Toasted),Chicken/Meat,150.0,633.0,Calorie density > 300kcal/100g for cooked food,80-94%
bd741afc-ec6c-48ff-a266-c795a40e4b42,Classic Club Sandwich,Dairy,150.0,502.0,Calorie density > 300kcal/100g for cooked food,80-94%
35f3db10-7d50-4d1d-86d2-ddab2cd85f05,Rice Flakes (Chiwda/Aval),Rice,150.0,531.0,Calorie density > 300kcal/100g for cooked food,80-94%
6b6aec87-0520-4af7-981d-f8ed7346e2d4,Baked Egg,Eggs,150.0,547.0,Calorie density > 300kcal/100g for cooked food,80-94%
c3fa7e2d-256d-4f27-8815-e01b434be2c2,Clear Tomato Soup (Tamatar Ka Soup),Traditional Meal,150.0,214.0,Soup > 120kcal/100g is unrealistic,80-94%
f803ae2b-5979-431a-914e-c1fe28cf1b4b,Lentil Soup,Dal & Pulses,150.0,478.0,Calorie density > 300kcal/100g for cooked food,80-94%
5166b56e-64ad-49f4-8473-bf6a362106c3,Chicken Consomme (Clear Chicken Soup),Chicken/Meat,150.0,477.0,Calorie density > 300kcal/100g for cooked food,80-94%
de6fa189-bb3d-483a-898f-c4c1a396c42c,Cream Of Tomato Soup,Traditional Meal,150.0,228.0,Soup > 120kcal/100g is unrealistic,80-94%
2bfffedb-c04c-42a0-8506-f9d2f20e8d28,Cream Of Green Peas Soup,Traditional Meal,150.0,283.0,Soup > 120kcal/100g is unrealistic,80-94%
ca2a5362-6b7d-4fbf-94b6-6395c63eb10b,Cream Of Spinach Soup,Traditional Meal,150.0,232.0,Soup > 120kcal/100g is unrealistic,80-94%
128e389a-591f-45f1-a0ef-d56183ec02f6,Cream Of Mixed Vegetable Soup,Vegetables,150.0,193.0,Soup > 120kcal/100g is unrealistic,80-94%
f2a76156-5304-4e61-a7fb-f218bcec248a,Cream Of Mushroom Soup,Traditional Meal,150.0,271.0,Soup > 120kcal/100g is unrealistic,80-94%
85b4e388-224f-40e4-b817-db36641755dd,Minestrone Soup,Traditional Meal,150.0,456.0,Calorie density > 300kcal/100g for cooked food,80-94%
67d026ef-cd61-413d-943e-6579b01ef305,Chinese Cabbage And Meat Ball Soup,Traditional Meal,150.0,184.0,Soup > 120kcal/100g is unrealistic,80-94%
1894f19c-1ad6-49af-a94d-f4ea6079d230,French Onion Soup,Traditional Meal,150.0,288.0,Soup > 120kcal/100g is unrealistic,80-94%
4dd350f2-314e-451e-beb5-64d6dd80775f,Talaumein Soup,Traditional Meal,150.0,516.0,Calorie density > 300kcal/100g for cooked food,80-94%
b8408073-ce41-401f-8a52-6a51f5cefc10,Cold Summer Garden Soup,Traditional Meal,150.0,515.0,Calorie density > 300kcal/100g for cooked food,80-94%
ab5bfb23-b80c-455e-bc6e-b2f7b5f0f07e,Plain Parantha/Paratha,Whole Grains,150.0,745.0,Calorie density > 300kcal/100g for cooked food,80-94%
e904563e-d9fd-414c-9456-a2420d48d31b,Potato Parantha/Paratha (Aloo Ka Parantha/Paratha),Whole Grains,150.0,512.0,Calorie density > 300kcal/100g for cooked food,80-94%
