exercise_id,exercise_name,body_part,equipment,primary_muscle,secondary_muscles,movement_pattern,tracking_supported,instructions,gif_url
1,3/4 sit-up,waist,body weight,abs,"hip flexors, lower back",other,no,"lie flat on your back with your knees bent and feet flat on the ground. place your hands behind your head with your elbows pointing outwards. engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. pause for a moment at the top, then slowly lower your upper body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/MOnK4iG0MEt9h8
2,45° side bend,waist,body weight,abs,obliques,other,no,"stand with your feet shoulder-width apart and your arms extended straight down by your sides. keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee. pause for a moment at the bottom, then slowly return to the starting position. repeat on the other side. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/PERWLDGUxVbpHS
3,air bike,waist,body weight,abs,hip flexors,other,no,"lie flat on your back with your hands placed behind your head. lift your legs off the ground and bend your knees at a 90-degree angle. bring your right elbow towards your left knee while simultaneously straightening your right leg. return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg. continue alternating sides in a pedaling motion for the desired number of repetitions.",https://v2.exercisedb.io/image/PLr4yo3j-f1amp
4,all fours squad stretch,upper legs,body weight,quads,"hamstrings, glutes",other,no,"start on all fours with your hands directly under your shoulders and your knees directly under your hips. extend one leg straight back, keeping your knee bent and your foot flexed. slowly lower your hips towards the ground, feeling a stretch in your quads. hold this position for 20-30 seconds. switch legs and repeat the stretch on the other side.",https://v2.exercisedb.io/image/XPQwM7HECjgNFE
5,alternate heel touchers,waist,body weight,abs,obliques,other,no,"lie flat on your back with your knees bent and feet flat on the ground. extend your arms straight out to the sides, parallel to the ground. engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel. return to the starting position and repeat on the left side, reaching your left hand towards your left heel. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/5nYph4eUGNiEdf
6,alternate lateral pulldown,back,cable,lats,"biceps, rhomboids",other,no,"sit on the cable machine with your back straight and feet flat on the ground. grasp the handles with an overhand grip, slightly wider than shoulder-width apart. lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together. pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Az5UYVYNa4j-oS
7,ankle circles,lower legs,body weight,calves,ankle stabilizers,other,no,"sit on the ground with your legs extended in front of you. lift one leg off the ground and rotate your ankle in a circular motion. perform the desired number of circles in one direction, then switch to the other direction. repeat with the other leg.",https://v2.exercisedb.io/image/ivmTcSJsMlXJeK
8,archer pull up,back,body weight,lats,"biceps, forearms",other,no,"start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. engage your core and pull your shoulder blades down and back. as you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. continue pulling until your chin is above the bar and your bent arm is fully flexed. lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. alternate sides with each repetition.",https://v2.exercisedb.io/image/LSBkdKcbK4xj8n
9,archer push up,chest,body weight,pectorals,"triceps, shoulders, core",other,no,"start in a push-up position with your hands slightly wider than shoulder-width apart. extend one arm straight out to the side, parallel to the ground. lower your body by bending your elbows, keeping your back straight and core engaged. push back up to the starting position. repeat on the other side, extending the opposite arm out to the side. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/GSjHZGSiL1VbQ7
10,arm slingers hanging bent knee legs,waist,body weight,abs,"shoulders, back",other,no,"hang from a pull-up bar with your arms fully extended and your knees bent at a 90-degree angle. engage your core and lift your knees towards your chest, bringing them as close to your elbows as possible. slowly lower your legs back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/osybi41Me6RFK2
