Name,Target_Muscle,Equipment,Video_URL,Difficulty,Type,Check_Type,Avoid_If,Progression_Next,Alternative_Swap,Wger_Image_URL
3/4 Sit-Up,Waist,Body Weight,https://www.youtube.com/embed?listType=search&list=3%2F4+Sit-Up+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,45° Side Bend,Wind Sprints,
45° Side Bend,Waist,Body Weight,https://www.youtube.com/embed?listType=search&list=45%C2%B0+Side+Bend+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Air Bike,Wheel Rollerout,
Air Bike,Waist,Body Weight,https://www.youtube.com/embed?listType=search&list=Air+Bike+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Alternate Heel Touchers,Weighted Side Bend (On Stability Ball),
All Fours Squad Stretch,Upper Legs,Body Weight,,Intermediate,Compound,general_logic,Knee Pain,Arms Apart Circular Toe Touch (Male),World Greatest Stretch,https://wger.de/media/exercise-images/1873/c0ed299b-6d87-4d90-885d-bb3b5d85f1eb.png
Alternate Heel Touchers,Waist,Body Weight,https://www.youtube.com/embed?listType=search&list=Alternate+Heel+Touchers+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Arm Slingers Hanging Bent Knee Legs,Weighted Seated Twist (On Stability Ball),
Alternate Lateral Pulldown,Back,Cable,https://www.youtube.com/embed?listType=search&list=Alternate+Lateral+Pulldown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Archer Pull Up,Wide Grip Rear Pull-Up,
Ankle Circles,Lower Legs,Body Weight,https://www.youtube.com/embed?listType=search&list=Ankle+Circles+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Assisted Lying Calves Stretch,Weighted Donkey Calf Raise,https://wger.de/media/exercise-images/1864/5970cdd8-0123-4eba-a921-2157fb6adacf.png
Archer Pull Up,Back,Body Weight,https://www.youtube.com/embed?listType=search&list=Archer+Pull+Up+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Assisted Parallel Close Grip Pull-Up,Wide Grip Pull-Up,
Archer Push Up,Chest,Body Weight,https://www.youtube.com/embed?listType=search&list=Archer+Push+Up+exercise+tutorial+proper+form,Intermediate,Compound,pushup_logic,,Assisted Chest Dip (Kneeling),Wide-Grip Chest Dip On High Parallel Bars,https://wger.de/media/exercise-images/1551/a6a9e561-3965-45c6-9f2b-ee671e1a3a45.png
Arm Slingers Hanging Bent Knee Legs,Waist,Body Weight,https://www.youtube.com/embed?listType=search&list=Arm+Slingers+Hanging+Bent+Knee+Legs+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Arm Slingers Hanging Straight Legs,Weighted Russian Twist V. 2,
Arm Slingers Hanging Straight Legs,Waist,Body Weight,https://www.youtube.com/embed?listType=search&list=Arm+Slingers+Hanging+Straight+Legs+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Arms Overhead Full Sit-Up (Male),Weighted Russian Twist (Legs Up),
Arms Apart Circular Toe Touch (Male),Upper Legs,Body Weight,https://www.youtube.com/embed?listType=search&list=Arms+Apart+Circular+Toe+Touch+%28Male%29+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Assisted Lying Glutes Stretch,Weighted Stretch Lunge,
Arms Overhead Full Sit-Up (Male),Waist,Body Weight,https://www.youtube.com/embed?listType=search&list=Arms+Overhead+Full+Sit-Up+%28Male%29+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Assisted Hanging Knee Raise,Weighted Russian Twist,
Assisted Chest Dip (Kneeling),Chest,Leverage Machine,https://www.youtube.com/embed?listType=search&list=Assisted+Chest+Dip+%28Kneeling%29+exercise+tutorial+proper+form,Beginner,Compound,dip_logic,,Assisted Seated Pectoralis Major Stretch With Stability Ball,Wide Hand Push Up,
Assisted Hanging Knee Raise,Waist,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Hanging+Knee+Raise+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Assisted Hanging Knee Raise With Throw Down,Weighted Overhead Crunch (On Stability Ball),
Assisted Hanging Knee Raise With Throw Down,Waist,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Hanging+Knee+Raise+With+Throw+Down+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Assisted Lying Leg Raise With Lateral Throw Down,Weighted Hanging Leg-Hip Raise,
Assisted Lying Calves Stretch,Lower Legs,Assisted,,Intermediate,Compound,general_logic,Knee Pain,Band Single Leg Calf Raise,Standing Calves Calf Stretch,https://wger.de/media/exercise-images/1239/5026373a-a7b4-4e26-a0aa-c46634205196.jpg
Assisted Lying Glutes Stretch,Upper Legs,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Lying+Glutes+Stretch+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Assisted Lying Gluteus And Piriformis Stretch,Weighted Squat,
Assisted Lying Gluteus And Piriformis Stretch,Upper Legs,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Lying+Gluteus+And+Piriformis+Stretch+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Assisted Prone Hamstring,Weighted Sissy Squat,
Assisted Lying Leg Raise With Lateral Throw Down,Waist,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Lying+Leg+Raise+With+Lateral+Throw+Down+exercise+tutorial+proper+form,Advanced,Compound,row_logic,Back Pain,Assisted Lying Leg Raise With Throw Down,Weighted Front Plank,
Assisted Lying Leg Raise With Throw Down,Waist,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Lying+Leg+Raise+With+Throw+Down+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Assisted Motion Russian Twist,Weighted Decline Sit-Up,
Assisted Motion Russian Twist,Waist,Medicine Ball,,Intermediate,Compound,general_logic,Back Pain,Assisted Prone Rectus Femoris Stretch,Weighted Crunch,https://wger.de/media/exercise-images/1193/70ca5d80-3847-4a8c-8882-c6e9e485e29e.png
Assisted Parallel Close Grip Pull-Up,Back,Leverage Machine,https://www.youtube.com/embed?listType=search&list=Assisted+Parallel+Close+Grip+Pull-Up+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Assisted Pull-Up,Weighted Pull-Up,
Assisted Prone Hamstring,Upper Legs,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Prone+Hamstring+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Assisted Prone Lying Quads Stretch,Weighted Lunge With Swing,
Assisted Prone Lying Quads Stretch,Upper Legs,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Prone+Lying+Quads+Stretch+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Assisted Side Lying Adductor Stretch,Weighted Cossack Squats (Male),
Assisted Prone Rectus Femoris Stretch,Waist,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Prone+Rectus+Femoris+Stretch+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Assisted Sit-Up,Vertical Leg Raise (On Parallel Bars),
Assisted Pull-Up,Back,Leverage Machine,https://www.youtube.com/embed?listType=search&list=Assisted+Pull-Up+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Assisted Standing Chin-Up,Weighted One Hand Pull Up,
Assisted Seated Pectoralis Major Stretch With Stability Ball,Chest,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Seated+Pectoralis+Major+Stretch+With+Stability+Ball+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Assisted Wide-Grip Chest Dip (Kneeling),Weighted Svend Press,
Assisted Side Lying Adductor Stretch,Upper Legs,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Side+Lying+Adductor+Stretch+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Knee Pain,Backward Jump,Walking Lunge,https://wger.de/media/exercise-images/1861/0ffe4e99-71ad-47fb-b98c-1f243faa0499.png
Assisted Sit-Up,Waist,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Sit-Up+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Band Alternating V-Up,V-Sit On Floor,
